# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
1289728 314.875 -0.001653992610606
1290240 315 -0.00165387697268755
1290752 315.125 -0.00165373241177135
1291264 315.25 -0.00165356729521462
1291776 315.375 -0.00165340750549968
1292288 315.5 -0.00165327510481646
1292800 315.625 -0.00165316886012962
1293312 315.75 -0.00165306507020958
1293824 315.875 -0.00165293806841207
1294336 316 -0.00165278150117576
1294848 316.125 -0.00165261245780721
1295360 316.25 -0.00165245705470913
1295872 316.375 -0.00165233046772319
1296384 316.5 -0.00165222631394988
1296896 316.625 -0.00165212222164318
1297408 316.75 -0.00165199704252233
1297920 316.875 -0.00165184665722367
1298432 317 -0.00165168606304732
1298944 317.125 -0.00165153689294738
1299456 317.25 -0.00165141207933735
1299968 317.375 -0.00165130985402336
1300480 317.5 -0.00165121792568192
1300992 317.625 -0.0016511205620069
1301504 317.75 -0.00165100532331235
1302016 317.875 -0.00165087152182536
1302528 318 -0.00165073647345475
1303040 318.125 -0.00165062771528297
1303552 318.25 -0.0016505594430773
1304064 318.375 -0.00165051432795998
1304576 318.5 -0.00165045529856809
1305088 318.625 -0.00165036138252738
1305600 318.75 -0.00165025035828957
1306112 318.875 -0.00165016147797452
1306624 319 -0.00165011629159382
1307136 319.125 -0.00165010042171616
1307648 319.25 -0.00165008313689948
1308160 319.375 -0.00165004812341625
1308672 319.5 -0.00165000154442085
1309184 319.625 -0.001649956478897
1309696 319.75 -0.00164991969159016
1310208 319.875 -0.0016498950922458
1310720 320 -0.00164989024591803
1311232 320.125 -0.00164990911979474
1311744 320.25 -0.00164993864315053
1312256 320.375 -0.00164995176758702
1312768 320.5 -0.00164993177308993
1313280 320.625 -0.00164989348797881
1313792 320.75 -0.00164987508244123
1314304 320.875 -0.00164990412584961
1314816 321 -0.00164996998095031
1315328 321.125 -0.00165003035350421
1315840 321.25 -0.00165004761850289
1316352 321.375 -0.00165002227343439
1316864 321.5 -0.00164999247511695
1317376 321.625 -0.00164999910811762
1317888 321.75 -0.00165004854872181
1318400 321.875 -0.00165010845948343
1318912 322 -0.00165013999684599
1319424 322.125 -0.00165013355624339
1319936 322.25 -0.0016501133719331
1320448 322.375 -0.00165011036829044
1320960 322.5 -0.00165013371225531
1321472 322.625 -0.00165016700028425
1321984 322.75 -0.00165018653512393
1322496 322.875 -0.00165018074260841
1323008 323 -0.00165015629049183
1323520 323.125 -0.0016501310664941
